trials_5.thisTrialN,trials_5.stepSize,trials_5.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,correctAns,tilt,key_resp.corr,trials_5.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,5.141953900019871,5.641209699999308,5.641209699999308,5.65905550000025,5.941687000013189,left,-10.0,1,1,1.9567587999918032,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
1,2,8.0,7.625741199997719,8.126222599996254,8.126222599996254,8.126222599996254,8.426471800019499,left,-8.0,1,1,0.8183197999896947,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
2,2,6.0,8.975655900023412,9.475917300005676,9.475917300005676,9.475917300005676,9.775991400005296,left,-6.0,1,1,0.44315999999525957,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
3,2,4.0,9.942548899998656,10.442449399997713,10.442449399997713,10.442449399997713,10.742733000020962,right,4.0,1,1,0.42257910000626,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
4,2,2.0,10.89281740001752,11.39247650001198,11.39247650001198,11.39247650001198,11.692156100005377,left,-2.0,1,1,0.5054038000234868,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
5,2,1.0,11.925797400006559,12.426034400006756,12.426034400006756,12.426034400006756,12.725712600018596,right,1.0,1,1,0.4132568000059109,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
6,2,1.0,12.859082000009948,13.35844690000522,13.35844690000522,13.35844690000522,13.659051599999657,right,1.0,1,1,0.42348779999883845,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
7,2,1.0,13.809117900003912,14.30884650000371,14.30884650000371,14.30884650000371,14.607960599998478,left,-1.0,1,1,0.8600621000223327,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
8,2,1.0,15.19165459999931,15.692318200017326,15.692318200017326,15.692318200017326,15.992152799997712,left,-1.0,1,1,0.3935979999951087,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
9,2,1.0,16.108782900002552,16.608996099996148,16.608996099996148,16.608996099996148,16.909319600003073,left,-1.0,1,1,0.408789799985243,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
10,2,1.0,17.04135060001863,17.54242539999541,17.54242539999541,17.54242539999541,17.842426500021247,left,-1.0,1,1,0.3603677999926731,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
11,2,1.0,17.924751300015487,18.425387399998726,18.425387399998726,18.425387399998726,18.725230700016255,right,1.0,1,1,0.4479019000136759,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
12,1,1.0,18.892051900009392,19.3923150000046,19.3923150000046,19.3923150000046,,right,1.0,0,0,0.25393060001078993,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
13,1,2.0,19.6754462000099,20.175668100011535,20.175668100011535,20.175668100011535,,right,2.0,1,1,0.24081300001125783,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
14,1,2.0,20.44119120002142,20.94229120001546,20.94229120001546,20.94229120001546,21.24199910002062,left,-2.0,0,0,0.31091319999541156,476143,001,2023-09-01_11h52.11.357,Adaptive_Staircase,2023.1.3,60.70208026035435,
