mouse.time,mouse.clicked_name,num_distr
[1.80906369999866],['TARGET'],5
[1.7970330999960424],['TARGET'],5
[1.5220364000051632],['TARGET'],5
[1.5382116000037058],['TARGET'],5
[1.201917799997318],['TARGET'],5
[2.027492200002598],['TARGET'],10
[1.3218692000009469],['TARGET'],5
[1.4456684999968274],['TARGET'],10
[1.9450727000003099],['TARGET'],10
[1.7465276000002632],['TARGET'],10
[1.5615450000041164],['TARGET'],10
[1.3621454000021913],['TARGET'],10
[1.9267102999947383],['TARGET'],10
[2.2465379999994184],['TARGET'],10
[1.9134571000031428],['TARGET'],10
[1.3526272000017343],['TARGET'],5
[1.6457588999983273],['TARGET'],10
[2.076367699999537],['TARGET'],10
[1.6118463999955566],['TARGET'],10
[1.421351599994523],['TARGET'],5
[1.9920379000031971],['TARGET'],10
[1.351763699996809],['TARGET'],5
[1.5302188999994542],['TARGET'],10
[1.8620152000003145],['TARGET'],10
[1.5203065999958199],['TARGET'],5
[1.144949399997131],['TARGET'],10
[1.411966500003473],['TARGET'],10
[1.2462192999955732],['TARGET'],10
[1.6619844000015291],['TARGET'],10
[1.6954107000055956],['TARGET'],10
[1.2876592999964487],['TARGET'],5
[0.9632751000026474],['TARGET'],10
[1.6055855000013253],['TARGET'],5
[1.5896719000011217],['TARGET'],5
[0.9675834999943618],['TARGET'],5
[2.1957651999982772],['TARGET'],10
[1.4205266000062693],['TARGET'],5
[2.396300500004145],['TARGET'],10
[1.7092312000022503],['TARGET'],10
[1.6380915999980061],['TARGET'],5
[1.5785519000055501],['TARGET'],10
[1.3231200000009267],['TARGET'],5
[1.5034922999984701],['TARGET'],5
[1.521478599999682],['TARGET'],5
[1.4461426999987452],['TARGET'],10
[1.2558852000001934],['TARGET'],5
[2.361799999998766],['TARGET'],10
[1.9395298000017647],['TARGET'],5
[1.4387215000024298],['TARGET'],5
[1.9540925000037532],['TARGET'],5
[1.6796685000008438],['TARGET'],10
[1.6622040000002016],['TARGET'],10
[1.8947182999982033],['TARGET'],10
[1.3297179000001051],['TARGET'],10
[1.379326599999331],['TARGET'],10
[1.4201985000036075],['TARGET'],5
[1.5305469000013545],['TARGET'],10
[1.3300671000033617],['TARGET'],10
[4.027408499998273],['TARGET'],10
[1.2551155999972252],['TARGET'],5
[1.300292799998715],['TARGET'],5
[6.778921799996169],['TARGET'],10
[1.9882116000007954],['TARGET'],5
[1.3540866999974241],['TARGET'],5
[1.6127787999939756],['TARGET'],10
[1.2462202000024263],['TARGET'],10
[1.0256773000000976],['TARGET'],10
[1.1040856999970856],['TARGET'],5
[1.2888086999955704],['TARGET'],5
[1.2382723999980954],['TARGET'],5
[1.1476855000000796],['TARGET'],10
[2.105079200002365],['TARGET'],5
[1.1050617000000784],['TARGET'],10
[1.106714400004421],['TARGET'],5
[1.2125708000021405],['TARGET'],10
[2.492710200000147],['TARGET'],10
[1.2457331999976304],['TARGET'],10
[3.143157300000894],['TARGET'],10
[1.6453522999945562],['TARGET'],10
[1.3719321999960812],['TARGET'],5
[1.5118787999963388],['TARGET'],10
[1.1619321000034688],['TARGET'],10
[1.1544542999981786],['TARGET'],5
[1.7394396999952733],['TARGET'],5
[1.72853309999482],['TARGET'],10
[1.140012800002296],['TARGET'],5
[1.6452983000053791],['TARGET'],10
[1.472046599999885],['TARGET'],5
[1.4621457000030205],['TARGET'],10
[1.2718881999971927],['TARGET'],5
[1.5762442000050214],['TARGET'],10
[1.345316000006278],['TARGET'],10
[1.0040178999988711],['TARGET'],5
[1.5219263000035426],['TARGET'],5
[1.9550401000014972],['TARGET'],5
[1.8292132999995374],['TARGET'],10
[1.372632499995234],['TARGET'],5
[1.4374600000010105],['TARGET'],5
[1.272948700003326],['TARGET'],5
[1.2301336000018637],['TARGET'],10
[4.377866799994081],['TARGET'],10
[1.4963481000013417],['TARGET'],10
[1.49455649999436],['TARGET'],10
[1.9210498000029474],['TARGET'],5
[1.5764598000023398],['TARGET'],10
[1.1637977999998839],['TARGET'],10
[1.3531847999984166],['TARGET'],5
[1.462727799997083],['TARGET'],10
[1.5895192999960273],['TARGET'],10
[1.3214133999936166],['TARGET'],10
[1.7394870999996783],['TARGET'],5
[1.5950060999966809],['TARGET'],10
[1.487940899998648],['TARGET'],5
[1.2126827000029152],['TARGET'],10
[1.3687917999995989],['TARGET'],5
[1.5399975999971502],['TARGET'],5
[1.2871593000018038],['TARGET'],5
[1.4136647999985144],['TARGET'],10
[1.0925218999982462],['TARGET'],10
[1.5621556999976747],['TARGET'],10
[1.3132153999977163],['TARGET'],10
[1.805091900001571],['TARGET'],5
[1.2295219999941764],['TARGET'],10
[1.2535007999977097],['TARGET'],5
[1.3718284999995376],['TARGET'],5
[1.2454250000009779],['TARGET'],10
[3.8141571000014665],['TARGET'],10
[1.1860788999983924],['TARGET'],10
[1.6129532999984804],['TARGET'],10
[1.2796044999995502],['TARGET'],10
[1.121327900000324],['TARGET'],5
[1.1053838999941945],['TARGET'],5
[1.5685201000014786],['TARGET'],10
[1.237347200003569],['TARGET'],5
[1.195586200003163],['TARGET'],10
[1.7095343000037246],['TARGET'],10
[1.3451907000053325],['TARGET'],10
[1.19020730000193],[],5
[1.2619792000041343],['TARGET'],10
[1.7006164999984321],['TARGET'],5
[1.8630850999979884],['TARGET'],10
[1.2541504000037094],['TARGET'],5
[1.4270153999968898],['TARGET'],10
[1.354754400003003],['TARGET'],5
[1.5464532999976655],['TARGET'],10
[1.3463974999976926],['TARGET'],10
[1.312736699997913],['TARGET'],10
[1.721828200003074],['TARGET'],5
[1.2736229000001913],['TARGET'],5
[2.123855799996818],['TARGET'],10
[1.5619642999954522],['TARGET'],10
[1.65633639999578],['TARGET'],5
[1.204783100001805],['TARGET'],5
[1.5879105999993044],['TARGET'],5
[1.9625108000036562],['TARGET'],10
[1.6383133999988786],['TARGET'],5
[1.6048260000025039],['TARGET'],5
[1.414545999999973],['TARGET'],10
[1.5427803999991738],['TARGET'],10
[1.5881086000008509],['TARGET'],5
[1.8955892999947537],['TARGET'],10
[1.4132010000030277],['TARGET'],10
[1.9219220999948448],['TARGET'],5
[1.556529400004365],['TARGET'],5
[1.2013249000010546],['TARGET'],5
[1.5289985999988858],['TARGET'],10
[1.4048951000004308],['TARGET'],5
[1.1954850000038277],['TARGET'],10
